sampleID_STPN2309	sampleID_hPTMs_liver	sampleID_progentomics_proteome_liver	trout_liver_batch	SampleID_mucus_microbiota_PGTB	SampleID_digesta_microbiota_PGTB	sampleID_proteomics_gut	gut_proteome_batch	sampleID_hPTMs_gut	gut_hptms_run_date	gut_hptm_batch	sampleID_acid_extractome_gut	sample_type	diet	day_cont	day_categ	rearing_tank	group	phase	diet_phase
S_021	X260220_TroutLiver_Histones_049	260220_TroutLiver_Proteome_049	B	MicrobE_268_M_P3	MicrobE_109_D_P2	240906_Diluted_TroutGutProteome_017	A					mid_gut	Fasted	0	day_00	C	Fasted_day_00		
S_023	X260220_TroutLiver_Histones_010	260220_TroutLiver_Proteome_010	A	MicrobE_205_M_P3	MicrobE_107_D_P2	240906_Diluted_TroutGutProteome_137	E	X240816_TroutGutHistones_137	240816	E	X240816_TroutGutHistones_137.mzML	mid_gut	Fasted	0	day_00	C	Fasted_day_00		
S_025	X260220_TroutLiver_Histones_136	260220_TroutLiver_Proteome_136	E	MicrobE_302_M_P4	MicrobE_144_D_P2	240906_Diluted_TroutGutProteome_010	A	X240816_TroutGutHistones_010	240816	A	X240816_TroutGutHistones_010.mzML	mid_gut	NC	1	day_01	J4	NC_day_01	early	NC_early
S_027	X260220_TroutLiver_Histones_095	260220_TroutLiver_Proteome_095	D	MicrobE_289_M_P4		240906_Diluted_TroutGutProteome_013	A	X240816_TroutGutHistones_013	240816	A	X240816_TroutGutHistones_013.mzML	mid_gut	NC	1	day_01	J4	NC_day_01	early	NC_early
S_029	X260220_TroutLiver_Histones_076	260220_TroutLiver_Proteome_076	C		MicrobE_143_D_P2	240906_Diluted_TroutGutProteome_103	D	X240816_TroutGutHistones_103	240816	D	X240816_TroutGutHistones_103.mzML	mid_gut	NC	1	day_01	J4	NC_day_01	early	NC_early
S_031	X260220_TroutLiver_Histones_132	260220_TroutLiver_Proteome_132	E	MicrobE_249_M_P3	MicrobE_3_D_P1	240906_Diluted_TroutGutProteome_016	A	X240816_TroutGutHistones_016	240816	A	X240816_TroutGutHistones_016.mzML	mid_gut	NC	1	day_01	J4	NC_day_01	early	NC_early
S_033	X260220_TroutLiver_Histones_024	260220_TroutLiver_Proteome_024	A	MicrobE_273_M_P4	MicrobE_59_D_P1	240906_Diluted_TroutGutProteome_151	F	X240816_TroutGutHistones_151	240816	F	X240816_TroutGutHistones_151.mzML	mid_gut	HC	1	day_01	J5	HC_day_01	early	HC_early
S_035	X260220_TroutLiver_Histones_008	260220_TroutLiver_Proteome_008	A	MicrobE_223_M_P3	MicrobE_5_D_P1	240906_Diluted_TroutGutProteome_083	C	X240816_TroutGutHistones_083	240816	C	X240816_TroutGutHistones_083.mzML	mid_gut	HC	1	day_01	J5	HC_day_01	early	HC_early
S_037	X260220_TroutLiver_Histones_154	260220_TroutLiver_Proteome_154	F	MicrobE_244_M_P3	MicrobE_62_D_P1	240906_Diluted_TroutGutProteome_175	F	X240816_TroutGutHistones_175	240816	F	X240816_TroutGutHistones_175.mzML	mid_gut	HC	1	day_01	J5	HC_day_01	early	HC_early
S_039	X260220_TroutLiver_Histones_146	260220_TroutLiver_Proteome_146	E	MicrobE_224_M_P3	MicrobE_33_D_P1	240906_Diluted_TroutGutProteome_009	A	X240816_TroutGutHistones_009	240816	A	X240816_TroutGutHistones_009.mzML	mid_gut	HC	1	day_01	J5	HC_day_01	early	HC_early
